starttime	seconds	ctime	dtime	ttime	wait
Tue Aug 03 16:32:32 2021	1627975952	1	722	724	722
Tue Aug 03 16:32:39 2021	1627975959	0	723	724	723
Tue Aug 03 16:32:40 2021	1627975960	0	724	724	723
Tue Aug 03 16:32:36 2021	1627975956	0	724	724	723
Tue Aug 03 16:32:37 2021	1627975957	0	724	724	724
Tue Aug 03 16:32:47 2021	1627975967	0	724	724	724
Tue Aug 03 16:32:32 2021	1627975952	0	724	724	724
Tue Aug 03 16:32:45 2021	1627975965	0	725	725	724
Tue Aug 03 16:32:35 2021	1627975955	0	725	725	724
Tue Aug 03 16:32:48 2021	1627975968	0	725	725	725
Tue Aug 03 16:32:43 2021	1627975963	0	725	725	724
Tue Aug 03 16:32:35 2021	1627975955	0	725	726	725
Tue Aug 03 16:32:33 2021	1627975953	0	726	726	726
Tue Aug 03 16:32:38 2021	1627975958	0	726	726	725
Tue Aug 03 16:32:35 2021	1627975955	0	726	726	726
Tue Aug 03 16:32:37 2021	1627975957	0	726	726	726
Tue Aug 03 16:32:35 2021	1627975955	0	726	727	726
Tue Aug 03 16:32:34 2021	1627975954	0	727	727	726
Tue Aug 03 16:32:37 2021	1627975957	0	727	727	726
Tue Aug 03 16:32:46 2021	1627975966	0	727	727	726
Tue Aug 03 16:32:42 2021	1627975962	0	727	727	727
Tue Aug 03 16:32:36 2021	1627975956	0	727	727	727
Tue Aug 03 16:32:35 2021	1627975955	0	728	728	727
Tue Aug 03 16:32:46 2021	1627975966	0	728	728	727
Tue Aug 03 16:32:35 2021	1627975955	0	728	728	728
Tue Aug 03 16:32:37 2021	1627975957	0	729	729	728
Tue Aug 03 16:32:34 2021	1627975954	0	729	729	729
Tue Aug 03 16:32:35 2021	1627975955	0	729	729	729
Tue Aug 03 16:32:36 2021	1627975956	0	730	730	729
Tue Aug 03 16:32:40 2021	1627975960	0	730	730	729
Tue Aug 03 16:32:33 2021	1627975953	0	730	730	730
Tue Aug 03 16:32:38 2021	1627975958	0	730	730	729
Tue Aug 03 16:32:47 2021	1627975967	0	730	730	730
Tue Aug 03 16:32:35 2021	1627975955	0	730	731	730
Tue Aug 03 16:32:37 2021	1627975957	0	730	731	730
Tue Aug 03 16:32:34 2021	1627975954	0	730	731	730
Tue Aug 03 16:32:37 2021	1627975957	1	730	731	730
Tue Aug 03 16:32:34 2021	1627975954	0	731	731	730
Tue Aug 03 16:32:34 2021	1627975954	0	731	731	731
Tue Aug 03 16:32:34 2021	1627975954	0	731	731	730
Tue Aug 03 16:32:46 2021	1627975966	0	731	731	731
Tue Aug 03 16:32:33 2021	1627975953	0	732	732	731
Tue Aug 03 16:32:37 2021	1627975957	0	732	732	732
Tue Aug 03 16:32:34 2021	1627975954	0	732	732	732
Tue Aug 03 16:32:42 2021	1627975962	0	732	733	732
Tue Aug 03 16:32:34 2021	1627975954	0	732	733	732
Tue Aug 03 16:32:45 2021	1627975965	0	732	733	732
Tue Aug 03 16:32:33 2021	1627975953	0	733	733	732
Tue Aug 03 16:32:34 2021	1627975954	0	733	733	732
Tue Aug 03 16:32:32 2021	1627975952	1	732	733	731
Tue Aug 03 16:32:42 2021	1627975962	0	733	733	732
Tue Aug 03 16:32:33 2021	1627975953	0	733	733	732
Tue Aug 03 16:32:34 2021	1627975954	0	733	733	732
Tue Aug 03 16:32:32 2021	1627975952	1	732	733	732
Tue Aug 03 16:32:34 2021	1627975954	0	733	733	733
Tue Aug 03 16:32:32 2021	1627975952	0	733	733	733
Tue Aug 03 16:32:47 2021	1627975967	0	733	734	733
Tue Aug 03 16:32:39 2021	1627975959	0	733	734	733
Tue Aug 03 16:32:36 2021	1627975956	0	734	734	733
Tue Aug 03 16:32:33 2021	1627975953	0	734	734	733
Tue Aug 03 16:32:39 2021	1627975959	0	734	734	734
Tue Aug 03 16:32:37 2021	1627975957	0	734	734	734
Tue Aug 03 16:32:41 2021	1627975961	0	734	734	734
Tue Aug 03 16:32:44 2021	1627975964	0	735	735	734
Tue Aug 03 16:32:44 2021	1627975964	0	735	735	734
Tue Aug 03 16:32:33 2021	1627975953	0	735	735	734
Tue Aug 03 16:32:46 2021	1627975966	0	735	735	734
Tue Aug 03 16:32:36 2021	1627975956	1	734	735	733
Tue Aug 03 16:32:35 2021	1627975955	0	735	735	734
Tue Aug 03 16:32:34 2021	1627975954	0	735	735	735
Tue Aug 03 16:32:32 2021	1627975952	0	735	735	735
Tue Aug 03 16:32:47 2021	1627975967	0	735	735	735
Tue Aug 03 16:32:34 2021	1627975954	0	735	736	735
Tue Aug 03 16:32:41 2021	1627975961	0	735	736	735
Tue Aug 03 16:32:33 2021	1627975953	0	735	736	735
Tue Aug 03 16:32:34 2021	1627975954	0	736	736	735
Tue Aug 03 16:32:37 2021	1627975957	0	736	736	735
Tue Aug 03 16:32:39 2021	1627975959	0	736	736	736
Tue Aug 03 16:32:38 2021	1627975958	0	736	736	736
Tue Aug 03 16:32:35 2021	1627975955	0	736	736	736
Tue Aug 03 16:32:36 2021	1627975956	0	736	737	735
Tue Aug 03 16:32:35 2021	1627975955	0	736	737	736
Tue Aug 03 16:32:34 2021	1627975954	0	737	737	736
Tue Aug 03 16:32:33 2021	1627975953	0	736	737	736
Tue Aug 03 16:32:46 2021	1627975966	0	737	737	736
Tue Aug 03 16:32:33 2021	1627975953	0	737	737	737
Tue Aug 03 16:32:35 2021	1627975955	0	737	737	737
Tue Aug 03 16:32:43 2021	1627975963	0	737	737	737
Tue Aug 03 16:32:35 2021	1627975955	0	737	738	737
Tue Aug 03 16:32:34 2021	1627975954	0	738	738	737
Tue Aug 03 16:32:32 2021	1627975952	1	737	738	736
Tue Aug 03 16:32:43 2021	1627975963	0	738	738	736
Tue Aug 03 16:32:36 2021	1627975956	2	737	739	736
Tue Aug 03 16:32:40 2021	1627975960	0	739	739	738
Tue Aug 03 16:32:40 2021	1627975960	0	739	739	738
Tue Aug 03 16:32:34 2021	1627975954	0	739	739	738
Tue Aug 03 16:32:33 2021	1627975953	0	739	739	739
Tue Aug 03 16:32:35 2021	1627975955	0	739	739	739
Tue Aug 03 16:32:40 2021	1627975960	0	739	739	739
Tue Aug 03 16:32:35 2021	1627975955	0	739	740	739
Tue Aug 03 16:32:42 2021	1627975962	0	739	740	739
