starttime	seconds	ctime	dtime	ttime	wait
Tue Aug 03 16:32:34 2021	1627975954	0	769	769	768
Tue Aug 03 16:32:36 2021	1627975956	0	769	769	768
Tue Aug 03 16:32:33 2021	1627975953	0	769	769	768
Tue Aug 03 16:32:43 2021	1627975963	0	769	769	768
Tue Aug 03 16:32:34 2021	1627975954	0	769	769	769
Tue Aug 03 16:32:35 2021	1627975955	0	769	769	769
Tue Aug 03 16:32:33 2021	1627975953	0	769	769	769
Tue Aug 03 16:32:39 2021	1627975959	0	769	769	769
Tue Aug 03 16:32:42 2021	1627975962	0	769	769	769
Tue Aug 03 16:32:38 2021	1627975958	0	769	770	769
Tue Aug 03 16:32:32 2021	1627975952	1	769	770	769
Tue Aug 03 16:32:40 2021	1627975960	0	770	770	770
Tue Aug 03 16:32:38 2021	1627975958	0	770	770	770
Tue Aug 03 16:32:35 2021	1627975955	0	770	771	770
Tue Aug 03 16:32:48 2021	1627975968	0	770	771	770
Tue Aug 03 16:32:45 2021	1627975965	0	771	771	770
Tue Aug 03 16:32:41 2021	1627975961	0	771	771	770
Tue Aug 03 16:32:37 2021	1627975957	0	771	771	770
Tue Aug 03 16:32:34 2021	1627975954	0	771	771	770
Tue Aug 03 16:32:34 2021	1627975954	0	771	771	770
Tue Aug 03 16:32:43 2021	1627975963	0	771	771	771
Tue Aug 03 16:32:32 2021	1627975952	2	769	771	769
Tue Aug 03 16:32:39 2021	1627975959	0	771	771	771
Tue Aug 03 16:32:48 2021	1627975968	0	771	771	771
Tue Aug 03 16:32:39 2021	1627975959	0	772	772	771
Tue Aug 03 16:32:37 2021	1627975957	0	772	772	771
Tue Aug 03 16:32:38 2021	1627975958	0	772	772	771
Tue Aug 03 16:32:44 2021	1627975964	0	772	772	771
Tue Aug 03 16:32:38 2021	1627975958	0	772	772	771
Tue Aug 03 16:32:42 2021	1627975962	0	772	772	772
Tue Aug 03 16:32:42 2021	1627975962	0	772	772	772
Tue Aug 03 16:32:46 2021	1627975966	0	772	772	772
Tue Aug 03 16:32:35 2021	1627975955	0	772	773	772
Tue Aug 03 16:32:43 2021	1627975963	0	772	773	772
Tue Aug 03 16:32:32 2021	1627975952	1	772	773	771
Tue Aug 03 16:32:47 2021	1627975967	0	773	773	772
Tue Aug 03 16:32:35 2021	1627975955	0	773	773	771
Tue Aug 03 16:32:36 2021	1627975956	0	773	774	773
Tue Aug 03 16:32:42 2021	1627975962	0	774	774	765
Tue Aug 03 16:32:41 2021	1627975961	0	774	774	773
Tue Aug 03 16:32:42 2021	1627975962	0	774	774	773
Tue Aug 03 16:32:48 2021	1627975968	0	774	774	773
Tue Aug 03 16:32:33 2021	1627975953	0	774	774	774
Tue Aug 03 16:32:34 2021	1627975954	0	774	774	774
Tue Aug 03 16:32:42 2021	1627975962	0	774	775	774
Tue Aug 03 16:32:36 2021	1627975956	0	775	775	774
