starttime	seconds	ctime	dtime	ttime	wait
Tue Aug 03 16:32:05 2021	1627975925	0	780	780	779
Tue Aug 03 16:32:10 2021	1627975930	0	781	781	780
Tue Aug 03 16:32:05 2021	1627975925	0	780	781	779
Tue Aug 03 16:32:12 2021	1627975932	0	781	781	780
Tue Aug 03 16:32:09 2021	1627975929	0	780	781	780
Tue Aug 03 16:32:00 2021	1627975920	0	781	781	780
Tue Aug 03 16:32:10 2021	1627975930	0	781	781	780
Tue Aug 03 16:32:01 2021	1627975921	0	781	781	780
Tue Aug 03 16:32:03 2021	1627975923	0	781	781	780
Tue Aug 03 16:32:09 2021	1627975929	0	781	781	780
Tue Aug 03 16:32:08 2021	1627975928	0	781	781	780
Tue Aug 03 16:32:13 2021	1627975933	0	781	781	781
Tue Aug 03 16:32:03 2021	1627975923	0	781	781	781
Tue Aug 03 16:32:07 2021	1627975927	0	781	781	781
Tue Aug 03 16:32:07 2021	1627975927	0	781	782	781
Tue Aug 03 16:32:05 2021	1627975925	0	781	782	781
Tue Aug 03 16:32:12 2021	1627975932	0	782	782	781
Tue Aug 03 16:32:13 2021	1627975933	0	782	782	781
Tue Aug 03 16:32:09 2021	1627975929	0	782	782	780
Tue Aug 03 16:32:09 2021	1627975929	0	782	782	781
Tue Aug 03 16:32:12 2021	1627975932	0	782	782	782
Tue Aug 03 16:32:10 2021	1627975930	0	782	782	782
Tue Aug 03 16:32:12 2021	1627975932	0	782	782	782
Tue Aug 03 16:32:07 2021	1627975927	0	782	782	782
Tue Aug 03 16:32:04 2021	1627975924	0	782	782	781
Tue Aug 03 16:32:09 2021	1627975929	0	782	782	782
Tue Aug 03 16:32:07 2021	1627975927	0	782	782	781
Tue Aug 03 16:32:10 2021	1627975930	0	782	782	781
Tue Aug 03 16:32:03 2021	1627975923	1	781	782	781
Tue Aug 03 16:32:03 2021	1627975923	0	782	782	782
Tue Aug 03 16:32:08 2021	1627975928	0	782	783	782
Tue Aug 03 16:32:07 2021	1627975927	0	782	783	782
Tue Aug 03 16:32:10 2021	1627975930	0	783	783	781
Tue Aug 03 16:32:09 2021	1627975929	0	783	783	782
Tue Aug 03 16:32:07 2021	1627975927	0	783	783	782
Tue Aug 03 16:32:03 2021	1627975923	0	783	783	782
Tue Aug 03 16:32:12 2021	1627975932	0	783	783	782
Tue Aug 03 16:32:12 2021	1627975932	0	783	783	783
Tue Aug 03 16:32:01 2021	1627975921	0	783	783	783
Tue Aug 03 16:32:08 2021	1627975928	0	783	783	783
Tue Aug 03 16:32:11 2021	1627975931	1	782	783	782
Tue Aug 03 16:32:13 2021	1627975933	0	783	783	783
Tue Aug 03 16:32:07 2021	1627975927	0	783	783	783
Tue Aug 03 16:32:07 2021	1627975927	0	783	783	783
Tue Aug 03 16:32:05 2021	1627975925	0	783	783	783
Tue Aug 03 16:32:09 2021	1627975929	0	783	783	783
Tue Aug 03 16:32:02 2021	1627975922	0	783	784	783
